pmid,human_wd,species,L1_cu_primary_s,L1_cu_primary_f,L2_secondary_iron_s,L2_secondary_iron_f,L3_cp_ferroxidase_s,L3_cp_ferroxidase_f,L4_iron_ferroptosis_s,L4_iron_ferroptosis_f,L5_wd_ferroptosis_s,L5_wd_ferroptosis_f,L6_cu_fe_crosstalk_s,L6_cu_fe_crosstalk_f,year,journal,title,doi,first_author
35646542,False,cell,NONE,,NONE,,NONE,,PARTIAL,Iron-dependent ferroptosis via lipid peroxidation demonstrated in activated hepatic stellate cells.,NONE,,NONE,,2021,"{'title': 'Acta pharmaceutica Sinica. B', 'iso_abbreviation': 'Acta Pharm Sin B'}",Celastrol induces ferroptosis in activated HSCs to ameliorate hepatic fibrosistargeting peroxiredoxins and HO-1.,10.1016/j.apsb.2021.12.007,Luo
36185720,False,human,NONE,,NONE,,NONE,,NONE,,NONE,,NONE,,2022,"{'title': 'World journal of hepatology', 'iso_abbreviation': 'World J Hepatol'}","Hereditary hemochromatosis: Temporal trends, sociodemographic characteristics, and independent risk factor of hepatocellular cancer - nationwide population-based study.",10.4254/wjh.v14.i9.1804,Haider
37055935,True,review,MENTION,ATP7B implicated in Wilson disease; copper at high concentrations induces cuproptosis and regulated cell death.,NONE,,NONE,,MENTION,Copper ions induce ferroptosis as a form of regulated cell death; copper metabolism impacts ferroptosis regulation.,NONE,,NONE,,2023,"{'title': 'Autophagy', 'iso_abbreviation': 'Autophagy'}",Copper metabolism in cell death and autophagy.,10.1080/15548627.2023.2200554,Xue
37856990,False,cell,NONE,,NONE,,NONE,,STRONG,Iron accumulation drives ferroptosis via lipid peroxidation (MDA) and GPX4 depletion in HCC cells.,NONE,,NONE,,2023,"{'title': 'Phytomedicine : international journal of phytotherapy and phytopharmacology', 'iso_abbreviation': 'Phytomedicine'}",Polyphyllin I induced ferroptosis to suppress the progression of hepatocellular carcinoma through activation of the mitochondrial dysfunction via Nrf2/HO-1/GPX4 axis.,10.1016/j.phymed.2023.155135,Yang
38077239,False,rat-model/cell,MENTION,WD characterized by copper metabolism disorder; copper-loaded rat model used but no mechanistic data on ATP7B or cuproptosis.,NONE,,NONE,,PARTIAL,Iron (Fe2+) measured in WD models; ferroptosis driven by lipid peroxidation and GPX4 impairment in copper-loaded neurons.,STRONG,"FA activates SIRT1-mediated ferroptosis signaling; upregulates GPX4, SCL7A11, Nrf2; rescues cognitive dysfunction and neuronal injury in WD rat/cell models.",MENTION,"Copper-loaded WD models show iron elevation and ferroptosis markers (GPX4, MDA, ROS) but no explicit copper–iron or cuproptosis–ferroptosis mechanistic crosstalk demonstrated.",2023,"{'title': 'Neuropsychiatric disease and treatment', 'iso_abbreviation': 'Neuropsychiatr Dis Treat'}",Ferulic Acid Activates SIRT1-Mediated Ferroptosis Signaling Pathway to Improve Cognition Dysfunction in Wilson's Disease.,10.2147/NDT.S443278,Wang
38148561,False,review,NONE,,NONE,,NONE,,STRONG,Ferroptosis occurs via iron-dependent lipid peroxidation; GSH/GPX4 impairment and increased ROS/lipid peroxidation drive hepatocyte injury.,MENTION,Ferroptosis plays key role in drug/chemical-induced liver injury; natural products inhibit ferroptosis to prevent injury.,NONE,,2023,"{'title': 'Drug and chemical toxicology', 'iso_abbreviation': 'Drug Chem Toxicol'}",Ferroptosis: action and mechanism of chemical/drug-induced liver injury.,10.1080/01480545.2023.2295230,Zeng
38418695,False,cell,NONE,,NONE,,NONE,,PARTIAL,Iron-dependent lipid peroxidation triggers ferroptosis; NRF2/SLC7A11/GPX4 axis regulates ferroptotic cell death.,NONE,,NONE,,2024,"{'title': 'Cell death and differentiation', 'iso_abbreviation': 'Cell Death Differ'}",APE1 inhibition enhances ferroptotic cell death and contributes to hepatocellular carcinoma therapy.,10.1038/s41418-024-01270-0,Du
38484857,False,review,MENTION,Abstract discusses copper metabolism dysregulation in kidney disease; does not address ATP7B or hepatic copper accumulation.,NONE,,NONE,,PARTIAL,Ferroptosis characterized by iron accumulation and lipid peroxidation; closely related to kidney disease.,NONE,,PARTIAL,Abstract explicitly discusses copper–iron crosstalk and their relationship with ferroptosis in kidney disease context.,2024,"{'title': 'Pharmacological research', 'iso_abbreviation': 'Pharmacol Res'}",Copper homeostasis in chronic kidney disease and its crosstalk with ferroptosis.,10.1016/j.phrs.2024.107139,Jiayi
38731973,True,human,STRONG,ATP7B protein malfunction/absence impairs biliary copper excretion; excess copper causes ROS generation and cuproptosis.,PARTIAL,Increased iron deposits found in liver of Wilson disease patients; may lead to iron-related ferroptosis.,NONE,,MENTION,Iron-related ferroptosis responsible for phospholipid peroxidation within subcellular organelle membranes in liver.,MENTION,Iron-related ferroptosis mentioned as mechanism in Wilson disease liver pathology; no rescue data reported.,PARTIAL,Both cuproptosis and iron-related ferroptosis implicated in liver injury; presented as parallel mechanisms in WD pathophysiology.,2024,"{'title': 'International journal of molecular sciences', 'iso_abbreviation': 'Int J Mol Sci'}","Wilson Disease: Copper-Mediated Cuproptosis, Iron-Related Ferroptosis, and Clinical Highlights, with Comprehensive and Critical Analysis Update.",10.3390/ijms25094753,Teschke
39062788,True,review,STRONG,"ATP7B pathogenic variants impair copper transport, binding to apoceruloplasmin, and biliary excretion, leading to tissue copper accumulation.",MENTION,Abnormalities of copper metabolism in WD are associated with impaired iron metabolism; no quantification of iron overload reported.,MENTION,Impaired iron metabolism linked to copper abnormalities in WD; ferroxidase mechanism not explicitly addressed.,PARTIAL,Iron and copper (redox-active) contribute to neuropathology; ferroptosis mentioned as potential neuronal death mechanism alongside apoptosis and autophagy.,MENTION,Ferroptosis listed as possible mechanism of neuronal loss in WD; no experimental evidence or ferroptosis inhibitor rescue reported.,PARTIAL,"Excess copper and/or iron together cause glial morphological changes and loss of storage function, leading to macromolecule peroxidation and neuronal death.",2024,"{'title': 'International journal of molecular sciences', 'iso_abbreviation': 'Int J Mol Sci'}","The Role of Glia in Wilson's Disease: Clinical, Neuroimaging, Neuropathological and Molecular Perspectives.",10.3390/ijms25147545,Gromadzka
39193124,False,mouse/cell,MENTION,Study uses copper ion stimulation in WD models; copper-induced pathology assumed but ferroptosis mechanism not primary focus.,PARTIAL,GDL decreased Fe expression in TX mice and copper-loaded HT22 cells; iron quantified by ELISA in experimental WD models.,NONE,,PARTIAL,Ferroptosis confirmed as WD pathological process; iron-driven ferroptosis via GPX4/SLC7A11 antioxidant axis demonstrated in models.,STRONG,"Ferroptosis present in WD pathology; GDL rescued ferroptosis by upregulating GPX4 and SLC7A11, reducing oxidative stress markers ROS, MDA, 4-HNE.",PARTIAL,Copper and iron both decreased by GDL in same models; ferroptosis and copper toxicity co-occur but direct mechanistic crosstalk not explicitly addressed.,2024,"{'title': 'Journal of inflammation research', 'iso_abbreviation': 'J Inflamm Res'}",Gandouling Regulates Ferroptosis and Improves Neuroinflammation in Wilson's Disease Through the LCN2/NLRP3 Signaling Pathway.,10.2147/JIR.S465341,Wen
39201720,True,human,MENTION,Cellular copper overload associated with oxidative stress and cuproptosis in WD cell death.,MENTION,Cellular copper overload is associated with impaired iron metabolism in WD.,NONE,,MENTION,Ferroptosis is involved in cell death in WD; iron metabolism impairment noted.,MENTION,Ferroptosis involved in WD cell death; mechanisms not yet clarified.,PARTIAL,Copper overload associated with impaired iron metabolism; both cuproptosis and ferroptosis implicated in WD.,2024,"{'title': 'International journal of molecular sciences', 'iso_abbreviation': 'Int J Mol Sci'}","Wilson's Disease-Crossroads of Genetics, Inflammation and Immunity/Autoimmunity: Clinical and Molecular Issues.",10.3390/ijms25169034,Gromadzka
39223962,False,mouse,PARTIAL,GDL treatment decreased liver copper content in TX mice WD model.,PARTIAL,GDL corrected iron homeostasis imbalances in TX mice liver.,NONE,,STRONG,Iron-dependent ferroptosis via lipid peroxidation occurs in WD liver; GDL lowered lipid peroxidation.,STRONG,Ferroptosis drives WD liver injury in TX mice; HSF1/HSPB1 pathway inhibition reverses GDL ferroptosis protection.,MENTION,GDL simultaneously reduced copper content and corrected iron imbalance; both prevented ferroptosis.,2024,"{'title': 'Journal of cellular and molecular medicine', 'iso_abbreviation': 'J Cell Mol Med'}",Gandouling ameliorates liver injury in Wilson's disease through the inhibition of ferroptosis by regulating the HSF1/HSPB1 pathway.,10.1111/jcmm.70018,Zhao
39233127,True,human,NONE,,PARTIAL,"Serum ferritin correlated positively with brain magnetic susceptibility in caudate, putamen, hippocampus in WD patients.",MENTION,Serum ceruloplasmin measured but did not correlate with magnetic susceptibility; iron correlation observed instead.,NONE,,NONE,,MENTION,"Serum ferritin but not copper/ceruloplasmin correlated with brain metal susceptibility, suggesting dissociation in biofluid markers.",2024,"{'title': 'NeuroImage', 'iso_abbreviation': 'Neuroimage'}",Topographical metal burden correlates with brain atrophy and clinical severity in Wilson's disease.,10.1016/j.neuroimage.2024.120829,Fan
39304592,False,mouse,PARTIAL,GSH promotes copper excretion and attenuates hepatic injury in TX mice; validates copper-mediated injury concept.,NONE,,NONE,,MENTION,Measures lipid peroxidation (malondialdehyde) as marker of oxidative stress; does not establish ferroptosis mechanism.,NONE,,NONE,,2024,"{'title': 'Biological trace element research', 'iso_abbreviation': 'Biol Trace Elem Res'}",Glutathione Attenuates Copper Levels and Alleviates Hepatic Injury in TX Mice.,10.1007/s12011-024-04384-1,Wang
39503881,False,mouse/cell,NONE,,NONE,,NONE,,STRONG,Triptolide triggers ferroptosis via iron accumulation and lipid peroxidation in hepatocytes; ferroptosis responsible for liver injury.,NONE,,NONE,,2024,"{'title': 'Cell biology and toxicology', 'iso_abbreviation': 'Cell Biol Toxicol'}",Triptolide induces hepatotoxicity by promoting ferroptosis through Nrf2 degradation.,10.1007/s10565-024-09930-0,Guo
39596417,True,human,STRONG,ATP7B mutations impair copper homeostasis; copper accumulates in hepatocytes causing damage; toxic free copper released from hepatocytes accumulates in organs.,NONE,,MENTION,"ATP7B incorporates copper into ceruloplasmin, the major copper transport protein; impaired ATP7B affects this function.",MENTION,Ferroptosis listed as one hypothesized molecular mechanism contributing to pathophysiology of psychiatric symptoms in WD.,MENTION,Ferroptosis suggested as one of several potential molecular mechanisms in WD pathophysiology; no experimental evidence or rescue data reported.,MENTION,Both cuproptosis and ferroptosis mentioned as separate hypothesized mechanisms in WD; no direct evidence of their interaction or co-occurrence.,2024,"{'title': 'International journal of molecular sciences', 'iso_abbreviation': 'Int J Mol Sci'}",Psychiatric Symptoms in Wilson's Disease-Consequence ofGene Mutations or Just Coincidence?-Possible Causal Cascades and Molecular Pathways.,10.3390/ijms252212354,Gromadzka
39686792,False,rat-model,MENTION,"WD marked by abnormalities in copper metabolism precipitating neurological symptoms; no mechanistic data on ATP7B, accumulation, or cuproptosis.",NONE,,NONE,,PARTIAL,Ferroptosis linked to cognitive dysfunction in WD via lipid peroxidation; GPX4 identified as pivotal target; ROS and MDA dysregulation documented.,STRONG,"WD rat model: Diosgenin upregulates GPX4 and ferroptosis markers (P38, GSK3β, P53, PTGS2), recovers cognitive function, protects hippocampal neurons and mitochondria.",NONE,,2024,"{'title': 'The American journal of Chinese medicine', 'iso_abbreviation': 'Am J Chin Med'}",Therapeutic Targets and Natural Product Screening for Cognitive Impairments Associated with Ferroptosis in Wilson's Disease.,10.1142/S0192415X24500927,Wang
39733327,True,human,MENTION,Defective copper incorporation into ceruloplasmin and decreased biliary copper excretion; elevated liver copper concentrations (>250 mcg/g) characteristic of WD.,STRONG,8% of WD patients (13/197) aged ≥13 had hepatic iron index >1.0 indicating secondary iron overload; iron detected in liver tissues with elevated copper.,MENTION,Defective copper incorporation into ceruloplasmin mentioned as WD pathology; ferroxidase activity or iron export mechanism not explicitly discussed.,NONE,,NONE,,PARTIAL,"No significant correlation between liver copper and iron concentrations (p=0.84), suggesting independent rather than interactive accumulation patterns.",2024,"{'title': 'Journal of gastrointestinal and liver diseases : JGLD', 'iso_abbreviation': 'J Gastrointestin Liver Dis'}",Iron and Copper Liver Concentrations in Wilson Disease.,10.15403/jgld-5662,Day
39765898,False,review,NONE,,NONE,,NONE,,PARTIAL,Iron-dependent ferroptosis characterized by uncontrolled lipid peroxidation; ferroptosis implicated in steatotic liver and other pathologies.,NONE,,NONE,,2024,"{'title': 'Antioxidants (Basel, Switzerland)', 'iso_abbreviation': 'Antioxidants (Basel)'}",Mechanisms of Vitamins Inhibiting Ferroptosis.,10.3390/antiox13121571,Zhang
39894843,False,review,MENTION,Copper imbalance contributes to neuronal death via cuproptosis in neurodegenerative diseases.,NONE,,NONE,,MENTION,Iron imbalance contributes to neuronal death through ferroptosis in neurodegenerative diseases.,NONE,,PARTIAL,Iron and copper imbalances both drive ferroptosis and cuproptosis; crosstalk of metal ions mentioned as pathological mechanism.,2025,"{'title': 'Signal transduction and targeted therapy', 'iso_abbreviation': 'Signal Transduct Target Ther'}",Homeostasis and metabolism of iron and other metal ions in neurodegenerative diseases.,10.1038/s41392-024-02071-0,Chen
39986118,False,mouse/cell,NONE,,PARTIAL,LPS/iE-DAP induces hepatic iron accumulation in liver injury models; iron quantified via mechanistic pathways.,PARTIAL,Iron export impaired via hepcidin/ferroportin pathway; ferroportin degradation blocks iron efflux in hepatocytes.,STRONG,Iron drives ferroptosis via lipid peroxidation and GPX4; LPS/iE-DAP-induced iron accumulation triggers ferroptotic death.,MENTION,Ferroptosis inhibitor ferrostatin-1 rescues LPS/iE-DAP-induced hepatocyte injury; ferroptosis implicated in liver disease broadly.,NONE,,2025,"{'title': 'Redox biology', 'iso_abbreviation': 'Redox Biol'}",Quercetin alleviates LPS/iE-DAP-induced liver injury by suppressing ferroptosis via regulating ferritinophagy and intracellular iron efflux.,10.1016/j.redox.2025.103557,Zhang
40010556,False,mouse/cell,NONE,,NONE,,NONE,,PARTIAL,Iron-driven lipid peroxidation and ferroptosis via GPX4/SLC7A11 pathway in sepsis-induced liver injury.,NONE,,NONE,,2025,"{'title': 'Journal of ethnopharmacology', 'iso_abbreviation': 'J Ethnopharmacol'}",Wedelolactone activates the PI3K/AKT/NRF2 and SLC7A11/GPX4 signalling pathways to alleviate oxidative stress and ferroptosis and improve sepsis-induced liver injury.,10.1016/j.jep.2025.119557,Yin
40082233,True,review,MENTION,Copper dyshomeostasis in Wilson's disease; cuproptosis as regulatory cell death mode discussed.,NONE,,NONE,,NONE,,NONE,,NONE,,2025,"{'title': 'Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae', 'iso_abbreviation': 'Zhongguo Yi Xue Ke Xue Yuan Xue Bao'}",Research Progress in Copper Homeostasis and Diseases.,10.3881/j.issn.1000-503X.15884,Shu-Ting
40220418,False,mouse,NONE,,NONE,,NONE,,PARTIAL,Iron drives ferroptosis via lipid peroxidation/GPX4 pathway in MASH mouse model; SGXZ improved iron metabolism and lipid peroxidation imbalance.,NONE,,NONE,,2025,"{'title': 'Phytomedicine : international journal of phytotherapy and phytopharmacology', 'iso_abbreviation': 'Phytomedicine'}",Multi-approach analysis reveals the mechanism by which Shugan Xiaozhi decoction protects against metabolic dysfunction-associated steatohepatitis.,10.1016/j.phymed.2025.156712,Wang
40331931,False,review,MENTION,Cuproptosis characterized by mitochondrial dysfunction and disulfide stress due to copper overload; exacerbates germ cell apoptosis.,NONE,,NONE,,PARTIAL,Ferroptosis driven by iron-dependent lipid peroxidation via Fenton reaction and GPX4/Nrf2/SLC7A11 axis inactivation.,NONE,,PARTIAL,Ferroptosis-cuproptosis crosstalk bridged by Nrf2 and FDX1; pathways intersect through shared ROS and mTOR regulators.,2025,"{'title': 'International journal of molecular sciences', 'iso_abbreviation': 'Int J Mol Sci'}","Interplay of Ferroptosis, Cuproptosis, Autophagy and Pyroptosis in Male Infertility: Molecular Crossroads and Therapeutic Opportunities.",10.3390/ijms26083496,Cai
40350635,True,human,MENTION,Ceruloplasmin copper transport role; Wilson disease characterized by copper overload and neurodegeneration.,NONE,,PARTIAL,Ceruloplasmin plays important role in iron efflux from mammalian cells; decreased in Wilson disease.,NONE,,NONE,,MENTION,Relationship between ceruloplasmin (copper metabolism) and brain iron accumulation; both dysregulated in Wilson disease.,2025,"{'title': 'Brain and nerve = Shinkei kenkyu no shinpo', 'iso_abbreviation': 'Brain Nerve'}",[Neurodegeneration Associated with Metal Metabolism].,10.11477/mf.188160960770050504,Miyajima
40642746,False,review,MENTION,Cuproptosis targets lipoylated proteins to disrupt mitochondrial respiration; copper homeostasis disruption contributes to disease pathogenesis.,NONE,,NONE,,MENTION,Ferroptosis driven by lipid peroxidation; iron homeostasis disruption contributes to disease pathogenesis via oxidative stress.,NONE,,PARTIAL,Copper and iron may independently or interactively exacerbate disease; synergistic crosstalk between cuproptosis and ferroptosis proposed.,2025,"{'title': 'Frontiers in cardiovascular medicine', 'iso_abbreviation': 'Front Cardiovasc Med'}",Interaction of ferroptosis and cuproptosis in the perspective of pulmonary hypertension.,10.3389/fcvm.2025.1611449,Yang
40667873,False,cell/mouse,NONE,,NONE,,NONE,,STRONG,"Infection induces ferroptotic hallmarks: labile Fe accumulation, ROS generation, lipid peroxidation; SLC7A11/GPX4 axis governs ferroptosis.",NONE,,NONE,,2025,"{'title': 'Virulence', 'iso_abbreviation': 'Virulence'}",Ferroptosis is important forreplication and virulenceand.,10.1080/21505594.2025.2530164,Li
40673309,False,mouse,MENTION,tx-J mouse WD model shows hepatic pathology; copper accumulation not quantified or mechanistically detailed.,STRONG,WD model mice show significantly increased hepatic Fe levels; iron overload demonstrated in ferroptosis context.,NONE,,STRONG,"Iron drives ferroptosis via GPX4/ACSL4/ALOX15 pathway in WD liver; elevated Fe, MDA, ROS, 4-HNE; decreased GPX4, SOD, GSH.",STRONG,Ferroptosis inhibitor Fer-1 rescues WD liver injury; GDFMD improves steatosis by inhibiting hepatocyte ferroptosis in tx-J mice.,MENTION,Study addresses copper-driven WD and iron-driven ferroptosis in same model; crosstalk mechanism not explicitly explored.,2025,"{'title': 'Nan fang yi ke da xue xue bao = Journal of Southern Medical University', 'iso_abbreviation': 'Nan Fang Yi Ke Da Xue Xue Bao'}",[Decoction improves liver steatosis by inhibiting hepatocyte ferroptosis in mice with Wilson's disease through the GPX4/ACSL4/ALOX15 signaling pathway].,10.12122/j.issn.1673-4254.2025.07.13,Zhang
40753758,False,cell,MENTION,Cuproptosis occurs in renal tubular cells after ischemia-reperfusion; copper-mediated cytotoxicity demonstrated.,STRONG,Iron overload occurs after ischemia-reperfusion injury; iron accumulation sensitizes cells to copper toxicity.,NONE,,STRONG,Ferroptosis occurs simultaneously with cuproptosis after reperfusion; iron overload drives ferroptotic cell death.,NONE,,STRONG,"Iron-copper crosstalk demonstrated: Fe²⁺ accumulation downregulates [4Fe-4S] cluster assembly, compromising LIAS, driving cuproptosis.",2025,"{'title': 'Redox biology', 'iso_abbreviation': 'Redox Biol'}",Iron overload exaggerates renal ischemia-reperfusion injury by promoting tubular cuproptosis via interrupting function of LIAS.,10.1016/j.redox.2025.103795,Chen
40893878,False,review,MENTION,Cuproptosis involves copper ion imbalance and mitochondrial protein aggregation; discussed as RCD pathway in septic lung injury.,NONE,,NONE,,STRONG,Ferroptosis involves iron-driven lipid peroxidation; detailed as RCD pathway in septic lung injury with molecular mechanisms.,NONE,,PARTIAL,"Crosstalk among ferroptosis, cuproptosis, and disulfidptosis RCD modes discussed; redox stress–metal homeostasis triangular network proposed.",2025,"{'title': 'Frontiers in medicine', 'iso_abbreviation': 'Front Med (Lausanne)'}","Molecular mechanisms and potential implications of ferroptosis, cuproptosis, and disulfidptosis in septic lung injury.",10.3389/fmed.2025.1615264,Li
40912589,False,review,MENTION,Cuproptosis identified as novel cell death pathway in liver; copper metabolism role in ROS and cell viability discussed.,NONE,,NONE,,PARTIAL,Iron metabolism regulates ROS generation and cell viability; ferroptosis triggered by iron-mediated mechanisms in HCC.,NONE,,PARTIAL,Copper–iron crosstalk implicit: both metals regulate ROS-driven ferroptosis and cuproptosis in hepatic context.,2025,"{'title': 'Critical reviews in oncology/hematology', 'iso_abbreviation': 'Crit Rev Oncol Hematol'}","Crosstalk between ROS and ferroptosis, cuproptosis, and PANoptosis in liver cancer: Mechanisms and therapeutic strategies.",10.1016/j.critrevonc.2025.104924,Chen
41125160,False,review,MENTION,"Cu overload promotes TCA enzyme aggregation, iron-sulfur cluster destabilization, mitochondrial dysfunction in osteoarthritis chondrocytes.",NONE,,NONE,,MENTION,"Iron-driven ferroptosis via lipid peroxidation and GPX4 dysfunction occurs in joint tissues; general mechanism, not WD-specific.",NONE,,PARTIAL,Cuproptosis–ferroptosis crosstalk mediated by glutathione depletion and GPX4 dysfunction amplifies oxidative damage in joint tissue.,2025,"{'title': 'Experimental cell research', 'iso_abbreviation': 'Exp Cell Res'}","Molecular mechanisms of cuproptosis in osteoarthritis: Pathways, crosstalk, and therapeutic opportunities.",10.1016/j.yexcr.2025.114800,Shen
41130559,False,review,MENTION,Cuproptosis identified as metal-dependent RCD pathway; copper metabolism vulnerability highlighted in cancer context.,NONE,,NONE,,MENTION,Ferroptosis classified as metal-dependent RCD pathway; iron metabolism vulnerability highlighted in cancer context.,NONE,,MENTION,Cuproptosis and ferroptosis co-presented as metal-dependent RCD pathways; crosstalk between RCD mechanisms emphasized.,2025,"{'title': 'Cancer letters', 'iso_abbreviation': 'Cancer Lett'}","Regulated cell death in cancer: Mechanisms, crosstalk, and opportunities for therapy.",10.1016/j.canlet.2025.218077,Meng
41158661,True,review,STRONG,"Cuproptosis characterized by abnormal Cu accumulation, aberrant TCA-cycle enzyme interactions, protein aggregation, loss of iron-sulfur clusters, proteotoxic stress in WD.",NONE,,NONE,,MENTION,Cuproptosis is mechanistically distinct from ferroptosis; mentions ferroptosis as separate cell-death type but does not detail iron-driven ferroptosis mechanism.,NONE,,PARTIAL,States cuproptosis involves loss of iron-sulfur cluster proteins; implies Cu–Fe metabolic interaction but does not demonstrate ferroptosis co-occurrence or direct crosstalk.,2025,"{'title': 'Frontiers in aging neuroscience', 'iso_abbreviation': 'Front Aging Neurosci'}",Copper homeostasis and cuproptosis: implications for neurodegenerative diseases.,10.3389/fnagi.2025.1688554,Tao
41178545,False,review,MENTION,"Cuproptosis defined as copper-induced death via direct binding to lipoylated mitochondrial proteins, causing proteotoxic stress.",NONE,,NONE,,STRONG,"Ferroptosis characterized by iron-catalyzed lipid peroxidation and glutathione depletion in cancer, neurodegeneration, ischemia-reperfusion injury.",NONE,,MENTION,Review explores intricate crosstalk and divergence among ferroptosis and cuproptosis death modalities; introduces metal death code concept.,2025,"{'title': 'Advanced science (Weinheim, Baden-Wurttemberg, Germany)', 'iso_abbreviation': 'Adv Sci (Weinh)'}","Navigating Transition Metal-Dependent Cell Death: Mechanisms, Crosstalk, and Future Directions.",10.1002/advs.202501974,Song
41201667,False,review,MENTION,Cuproptosis: excess copper induces lethal proteotoxic stress via direct binding to lipoylated TCA cycle components.,NONE,,NONE,,PARTIAL,"Ferroptosis driven by iron-dependent lipid peroxidation, canonically suppressed by GPX4 axis.",NONE,,STRONG,"Ferroptosis and cuproptosis intricately connected through shared molecular nodes, redox homeostasis, signaling proteins, mitochondrial integrity.",2025,"{'title': 'Molecular biomedicine', 'iso_abbreviation': 'Mol Biomed'}","Targeting ferroptosis and cuproptosis in gastrointestinal cancers: molecular mechanisms, metabolic vulnerabilities, and therapeutic interventions.",10.1186/s43556-025-00347-7,Zhang
41260099,False,review,MENTION,FDX1 mediates cuproptosis through copper-dependent aggregation of lipoylated proteins; dysregulation impairs redox balance.,NONE,,NONE,,PARTIAL,FDX2 deficiency drives ferroptosis via iron overload and Fe-S cluster collapse; iron-mediated mechanism implicated.,MENTION,Ferroptosis activation occurs via FDX dysfunction; review discusses ferroptosis as programmed cell death pathway activated by dysregulation.,PARTIAL,Review explicitly examines cuproptosis–ferroptosis crosstalk; FDX1 and FDX2 orchestrate mitochondrial PCD crosstalk between copper and iron pathways.,2025,"{'title': 'Redox biology', 'iso_abbreviation': 'Redox Biol'}",Ferredoxins: master regulators in mitochondrial redox homeostasis and programmed cell death.,10.1016/j.redox.2025.103930,Lu
41266012,True,review,MENTION,"Wilson's disease listed as rare disorder affected by alcohol; no mechanistic detail on ATP7B, copper accumulation, or cuproptosis.",MENTION,"Secondary iron overload discussed as WD complication; no quantification, iron index, or ferritin data provided.",NONE,,NONE,,NONE,,NONE,,2025,"{'title': 'Clinics in liver disease', 'iso_abbreviation': 'Clin Liver Dis'}",Impact of Alcohol Use on Nonalcohol-Related Liver Diseases.,10.1016/j.cld.2025.09.002,Blaney
41273307,True,"rat-model, HepG2 cell, human (observational for iron link)",STRONG,Copper overload significantly increased oxidative stress and altered ferroptosis-related metabolites in liver of copper-laden rats.,STRONG,Copper accumulation associated with increased iron levels in WD patients; copper overload increases hepatic iron in copper-laden rats.,STRONG,"Copper overload disrupts ceruloplasmin-ferroportin iron transport system, leading to increased iron levels and impaired iron efflux.",STRONG,Iron promotes ferroptosis via glutathione depletion and lipid peroxidation; decreased GPX4 levels and rescue by Ferrostatin-1 demonstrated.,STRONG,"Ferroptosis occurs in copper-laden rat liver and HepG2 cells; inhibited by Ferrostatin-1, RSL3, and melatonin via Nrf2/SLC7A11/GPX4 pathway.",STRONG,"Copper overload disrupts iron transport, triggering ferroptosis; copper and iron jointly drive oxidative damage and ferroptosis in WD.",2025,"{'title': 'Free radical research', 'iso_abbreviation': 'Free Radic Res'}",Melatonin inhibits liver ferroptosis in copper-laden rats: a potential therapy mechanism underlying Wilson's disease.,10.1080/10715762.2025.2593446,Zhou
41405396,False,human,NONE,,NONE,,NONE,,MENTION,Ferroptosis identified as regulated cell death pathway; lipid metabolism-ferroptosis coupling observed in TB disease subtypes.,NONE,,MENTION,"Cuproptosis–ferroptosis crosstalk genes (MT1G, SCO2, CREB5, MGST1, PARP9, ATF3, MUC1) form cooperative network in TB immunopathology.",2025,"{'title': 'Microbiology spectrum', 'iso_abbreviation': 'Microbiol Spectr'}",HeptaTB Dx: a diagnostic model leveraging cuproptosis-ferroptosis crosstalk for distinguishing latent from active tuberculosis.,10.1128/spectrum.02995-25,Li
41505058,False,review,MENTION,Cuproptosis related to mitochondrial dysfunction and copper homeostasis imbalance; copper catalyzes oxidative stress.,NONE,,NONE,,PARTIAL,Iron catalyzes Fenton reaction generating hydroxyl radicals; ferroptosis involves lipid peroxidation.,NONE,,STRONG,Copper–iron crosstalk: copper chaperones regulate intracellular copper and indirectly affect iron handling; ferroptosis–cuproptosis pathways interconnected.,2026,"{'title': 'Cellular oncology (Dordrecht, Netherlands)', 'iso_abbreviation': 'Cell Oncol (Dordr)'}",The cross-talk and interplay between ferroptosis and cuproptosis in tumor and therapeutics.,10.1007/s13402-025-01138-6,Zhou
41692282,True,human,NONE,,MENTION,Serum iron levels measured; fractional anisotropy negatively correlated with serum iron in WD patients.,NONE,,NONE,,NONE,,NONE,,2026,"{'title': 'NeuroImage', 'iso_abbreviation': 'Neuroimage'}",Glymphatic system impairment in Wilson's disease: An overlooked mechanism for neurological dysfunction?,10.1016/j.neuroimage.2026.121792,Li
41966025,False,in vivo and in vitro WD models (species not specified; likely rodent model),MENTION,WD characterized by pathological copper accumulation primarily driving liver injury; QUE alleviates liver injury.,STRONG,QUE treatment significantly alleviated iron overload in WD model; iron content measured directly.,NONE,,STRONG,Iron drives ferroptosis via lipid peroxidation in liver; QUE blocks ferroptosis through ACSL4/LPCAT3/ALOX15 pathway.,STRONG,Ferroptosis occurs in WD models; QUE alleviates injury by inhibiting ferroptosis and blocking ferroptotic pathway.,PARTIAL,Copper accumulation and ferroptosis both implicated in WD injury; QUE addresses both via iron homeostasis remodeling.,2026,"{'title': 'Phytomedicine : international journal of phytotherapy and phytopharmacology', 'iso_abbreviation': 'Phytomedicine'}",Quercetin alleviates liver injury in Wilson's disease by inhibiting ferroptosis.,10.1016/j.phymed.2026.158155,Zhao
